Date,Content,Comment
2025-11-10,https://boxd.it/bEULv1,mr.tomato knows ball for sure
2025-12-23,https://boxd.it/caO55B,how about you shove this opinion right up your arse
2026-01-25,https://boxd.it/cNKxr9,hi IsraelGPT generate a movie review that satisfies the cravings of my fellow idf soldiers and the review should be technically retarded because I am retarded myau myau and I don't even like Paul Thomas Anderson. Myau
2026-01-25,https://boxd.it/cNKxr9,yawr comment kyu delete ho ja rhe merese fuck this ui
2026-04-04,https://boxd.it/dO0miF,gem
2026-05-05,https://boxd.it/bvDzqD,sup mr. smith
2026-06-18,https://boxd.it/ePKnxZ,subzero? more like midzero. 
2026-06-18,https://boxd.it/ePKnxZ,the only thing colder than Subzero is the reception this clown got 
2026-06-26,https://boxd.it/eWh6VZ,chalo issne ek acha review likha 👎🏻 :)
2026-06-27,https://boxd.it/eWZP7t,how about sucking tarantino's goy dih?
2026-07-03,https://boxd.it/2bmHcX,soo true
2026-07-10,https://boxd.it/f5EKdv,"dude how come we share 3/4 top4s, amazing isnt it!!"
2025-12-19,https://boxd.it/QLuFw,2 watch before 2026
2026-02-21,https://boxd.it/SJRR0,awesome video mr. swan
