Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-07-28,Christopher Nolan's Criterion Closet Picks,,https://boxd.it/W3E5u,All 16 films Nolan picked during his July Criterion Closet viz

Position,Name,Year,URL,Description
1,The Killers,1964,https://boxd.it/1y3E,Pick: The Killers (0:14) - the Don Siegel version Nolan specifically discusses
2,Shadows,1958,https://boxd.it/1M9c,Pick: John Cassavetes: Five Films box set (0:17)
3,Faces,1968,https://boxd.it/29Ia,Pick: John Cassavetes: Five Films box set (0:17)
4,A Woman Under the Influence,1974,https://boxd.it/1myg,Pick: John Cassavetes: Five Films box set (0:17)
5,The Killing of a Chinese Bookie,1976,https://boxd.it/1hS6,Pick: John Cassavetes: Five Films box set (0:17)
6,Opening Night,1977,https://boxd.it/1f4e,Pick: John Cassavetes: Five Films box set (0:17)
7,For All Mankind,1989,https://boxd.it/1Dvy,Pick: For All Mankind (0:24)
8,Mr. Arkadin,1955,https://boxd.it/SZc,Pick: The Complete Mr. Arkadin (0:36)
9,The Testament of Dr. Mabuse,1933,https://boxd.it/1Sia,Pick: The Testament of Dr. Mabuse (1:02) - studied for the Joker in The Dark Knight
10,Pather Panchali,1955,https://boxd.it/22yC,Pick: The Apu Trilogy (1:15)
11,Aparajito,1956,https://boxd.it/29kW,Pick: The Apu Trilogy (1:15)
12,Apur Sansar,1959,https://boxd.it/29l6,Pick: The Apu Trilogy (1:15)
13,Italianamerican,1974,https://boxd.it/3deg,"Pick: Scorsese Shorts - missing from the timestamp list you gave me, confirmed via Criterion's own product page"
14,American Boy: A Profile of Steven Prince,1978,https://boxd.it/1fqu,"Pick: Scorsese Shorts - missing from the timestamp list you gave me, confirmed via Criterion's own product page"
15,The Big Shave,1967,https://boxd.it/HO8,"Pick: Scorsese Shorts - missing from the timestamp list you gave me, confirmed via Criterion's own product page"
16,"It's Not Just You, Murray!",1964,https://boxd.it/19yW,"Pick: Scorsese Shorts - missing from the timestamp list you gave me, confirmed via Criterion's own product page"
17,What's a Nice Girl Like You Doing in a Place Like This?,1963,https://boxd.it/HNE,"Pick: Scorsese Shorts - missing from the timestamp list you gave me, confirmed via Criterion's own product page"
18,Lucía,1968,https://boxd.it/38mk,Pick: Martin Scorsese's World Cinema Project No. 3 (1:42)
19,After the Curfew,1954,https://boxd.it/5joA,Pick: Martin Scorsese's World Cinema Project No. 3 (1:42)
20,Pixote,1980,https://boxd.it/XCs,Pick: Martin Scorsese's World Cinema Project No. 3 (1:42)
21,Two Monks,1934,https://boxd.it/5fTk,Pick: Martin Scorsese's World Cinema Project No. 3 (1:42)
22,Soleil O,1970,https://boxd.it/5TR4,Pick: Martin Scorsese's World Cinema Project No. 3 (1:42)
23,Downpour,1972,https://boxd.it/4lns,Pick: Martin Scorsese's World Cinema Project No. 3 (1:42)
24,Malcolm X,1992,https://boxd.it/27WE,Pick: Malcolm X (2:24)
25,Lost Highway,1997,https://boxd.it/29Wc,Pick: Lost Highway (2:39)
26,Koyaanisqatsi,1982,https://boxd.it/1U9E,Pick: The Qatsi Trilogy (3:15) - Nolan's favorite of the three
27,Powaqqatsi,1988,https://boxd.it/1xPs,Pick: The Qatsi Trilogy (3:15)
28,Naqoyqatsi,2002,https://boxd.it/1BiM,Pick: The Qatsi Trilogy (3:15)
29,The Player,1992,https://boxd.it/1WlM,Pick: The Player (3:33)
30,Boyhood,2014,https://boxd.it/3178,Pick: Boyhood (3:56)
31,One False Move,1991,https://boxd.it/1Cpu,Pick: One False Move (4:04)
32,The Black Stallion,1979,https://boxd.it/1IUy,Pick: The Black Stallion (4:12)
33,Citizen Kane,1941,https://boxd.it/71O,Pick: Citizen Kane (4:26)
