Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-08-04,claustrophbia,,https://boxd.it/WgoxI,

Position,Name,Year,URL,Description
1,Phone Booth,2002,https://boxd.it/285G,Core
2,Buried,2010,https://boxd.it/1tXC,Core
3,The Guilty,2018,https://boxd.it/hw9i,Core
4,Locke,2013,https://boxd.it/6hHC,Core
5,Panic Room,2002,https://boxd.it/2490,Core
6,10 Cloverfield Lane,2016,https://boxd.it/aZiu,Core
7,Oxygen,2021,https://boxd.it/gU16,Core
8,Exam,2009,https://boxd.it/1mn8,Single Room / Building
9,Cube,1997,https://boxd.it/2aoU,Single Room / Building
10,Devil,2010,https://boxd.it/SX6,Single Room / Building
11,Fermat's Room,2007,https://boxd.it/22Ue,Single Room / Building
12,The Platform,2019,https://boxd.it/mUm6,Single Room / Building
13,Circle,2015,https://boxd.it/b5So,Single Room / Building
14,The Belko Experiment,2016,https://boxd.it/blCw,Single Room / Building
15,Escape Room,2019,https://boxd.it/iYlS,Single Room / Building
16,Unknown,2006,https://boxd.it/1XI8,Single Room / Building
17,Breathing Room,2008,https://boxd.it/1KEC,Single Room / Building
18,Red Eye,2005,https://boxd.it/1TNy,Vehicles
19,Collateral,2004,https://boxd.it/28F0,Vehicles
20,Speed,1994,https://boxd.it/28qk,Vehicles
21,Non-Stop,2014,https://boxd.it/6FtO,Vehicles
22,Cellular,2004,https://boxd.it/1XSC,Vehicles
23,Source Code,2011,https://boxd.it/fdo,Vehicles
24,Train to Busan,2016,https://boxd.it/dSQU,Vehicles
25,Snowpiercer,2013,https://boxd.it/3Icg,Vehicles
26,Green Room,2015,https://boxd.it/a75m,Home Invasion / Survival
27,Don't Breathe,2016,https://boxd.it/9yzw,Home Invasion / Survival
28,Hush,2016,https://boxd.it/d5ys,Home Invasion / Survival
29,You're Next,2011,https://boxd.it/2WWK,Home Invasion / Survival
30,The Collector,2009,https://boxd.it/1BY4,Home Invasion / Survival
31,Vacancy,2007,https://boxd.it/1WBU,Home Invasion / Survival
32,The Strangers,2008,https://boxd.it/1VGY,Home Invasion / Survival
33,Coherence,2013,https://boxd.it/6xza,Psychological
34,The Invitation,2015,https://boxd.it/9OUU,Psychological
35,Pontypool,2008,https://boxd.it/1yBw,Psychological
36,Rear Window,1954,https://boxd.it/2a6Q,Psychological
37,Tape,2001,https://boxd.it/1yCu,Psychological
38,The Sunset Limited,2011,https://boxd.it/o8M,Psychological
39,Carnage,2011,https://boxd.it/2peU,Psychological
40,Mass,2021,https://boxd.it/eYAA,Psychological
41,Moon,2009,https://boxd.it/1IGQ,Sci-Fi
42,Aniara,2018,https://boxd.it/hUMe,Sci-Fi
43,Life,2017,https://boxd.it/dRqG,Sci-Fi
44,Infinity Chamber,2016,https://boxd.it/fceo,Sci-Fi
45,ARQ,2016,https://boxd.it/erMS,Sci-Fi
46,Cube Zero,2004,https://boxd.it/2anM,Sci-Fi
47,Cube 2: Hypercube,2002,https://boxd.it/2anW,Sci-Fi
48,Rope,1948,https://boxd.it/28yo,Classics
49,Dial M for Murder,1954,https://boxd.it/2adW,Classics
50,Wait Until Dark,1967,https://boxd.it/1Unc,Classics
51,Lifeboat,1944,https://boxd.it/1Qpo,Classics
52,The Autopsy of Jane Doe,2016,https://boxd.it/dUu2,Hidden Gems
53,The Night Eats the World,2018,https://boxd.it/gmgQ,Hidden Gems
54,127 Hours,2010,https://boxd.it/SLa,Hidden Gems
55,Frozen,2010,https://boxd.it/S8M,Hidden Gems
56,Shut In,2022,https://boxd.it/nip4,Hidden Gems
57,Gerald's Game,2017,https://boxd.it/buKa,Hidden Gems
58,Fall,2022,https://boxd.it/Bf6G,Hidden Gems
