Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-06,Comfort Movies,,https://boxd.it/PjZCI,"hey man see, I've got my own fair share of problems. i know you might think I'm a baller n that's what I am ;) but guess what... imma real one as well and u know what sometimes even real ones gotta sit it out mannn. Fuck you, you stalking piece of shit. Just kiddin love ya"

Position,Name,Year,URL,Description
1,Ted,2012,https://boxd.it/2pgc,
2,Ted 2,2015,https://boxd.it/6oCY,
3,Snatch,2000,https://boxd.it/2b7U,
4,Plus One,2019,https://boxd.it/inpo,
5,The Man Who Knew Too Little,1997,https://boxd.it/1YKa,
6,Adventures in Babysitting,1987,https://boxd.it/1Ofc,
7,Shaun of the Dead,2004,https://boxd.it/29J8,
8,Shrek,2001,https://boxd.it/29zi,
9,Just One of the Guys,1985,https://boxd.it/1xtm,
10,Amélie,2001,https://boxd.it/2aUc,
11,Dishoom,2016,https://boxd.it/dKVW,
12,The Dictator,2012,https://boxd.it/2DEW,
13,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
14,After Hours,1985,https://boxd.it/1VfS,
15,Into the Night,1985,https://boxd.it/1U5W,
16,Sleepless in Seattle,1993,https://boxd.it/29re,
17,Dil Toh Baccha Hai Ji,2011,https://boxd.it/rWU,
18,Son of Sardaar,2012,https://boxd.it/4vM8,
19,Partner,2007,https://boxd.it/1s6W,
20,God Tussi Great Ho,2008,https://boxd.it/1usq,
21,Khiladi 786,2012,https://boxd.it/4GuE,
22,Jaane Tu... Ya Jaane Na,2008,https://boxd.it/1O2i,
23,Desi Boyz,2011,https://boxd.it/2MOw,
24,Raising Arizona,1987,https://boxd.it/2avQ,
25,Bend It Like Beckham,2002,https://boxd.it/2am0,
