Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-08-04,essential québécois,,https://boxd.it/WgmSu,

Position,Name,Year,URL,Description
1,Maelström,2000,https://boxd.it/1caI,
2,August 32nd on Earth,1998,https://boxd.it/hY2,
3,Humanist Vampire Seeking Consenting Suicidal Person,2023,https://boxd.it/Blzk,
4,Falcon Lake,2022,https://boxd.it/zHkW,
5,Genesis,2018,https://boxd.it/jyeo,Closest to Falcon Lake. Dreamy coming-of-age; Philippe Lesage.
6,Incendies,2010,https://boxd.it/Msm,
7,C.R.A.Z.Y.,2005,https://boxd.it/1TSI,
8,Mommy,2014,https://boxd.it/7Uau,
9,The Decline of the American Empire,1986,https://boxd.it/1GQE,
10,Monsieur Lazhar,2011,https://boxd.it/2IVe,
11,A Colony,2018,https://boxd.it/k2LW,
12,"You're Sleeping, Nicole",2014,https://boxd.it/88Te,
13,Ghost Town Anthology,2019,https://boxd.it/kRnG,
14,Sarah Prefers to Run,2013,https://boxd.it/5Fl4,
15,It's Only the End of the World,2016,https://boxd.it/be0K,
16,Polytechnique,2009,https://boxd.it/1AMG,
17,Antigone,2019,https://boxd.it/lpjo,Modern adaptation of Sophocles.
18,"Nadia, Butterfly",2020,https://boxd.it/qhbw,
19,Before We Explode,2019,https://boxd.it/kT4Q,
