Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-03-19,femcel recommended me these,,https://boxd.it/TiGyG,hmmm

Position,Name,Year,URL,Description
1,The Piano Teacher,2001,https://boxd.it/2886,
2,Malena,2000,https://boxd.it/1Vc0,
3,Y Tu Mamá También,2001,https://boxd.it/28QM,
4,The Dreamers,2003,https://boxd.it/28X4,
5,Magnolia,1999,https://boxd.it/2aze,
6,Secretary,2002,https://boxd.it/1URc,
7,Crash,1996,https://boxd.it/29n2,
8,The Reader,2008,https://boxd.it/20Dq,
9,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,
10,Mulholland Drive,2001,https://boxd.it/297o,
11,Blue Velvet,1986,https://boxd.it/29BI,
12,Shame,2011,https://boxd.it/2CxU,
13,Lolita,1962,https://boxd.it/29Ag,
14,Nosferatu,2024,https://boxd.it/f5eG,
15,Possession,1981,https://boxd.it/1BPm,
16,Eyes Wide Shut,1999,https://boxd.it/2axs,
17,Boogie Nights,1997,https://boxd.it/23um,
18,"Yes, God, Yes",2019,https://boxd.it/jaGS,
