Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-01,films that have infinite rewatch value,,https://boxd.it/SfPpS,i can never get over these films on god

Position,Name,Year,URL,Description
1,Magnolia,1999,https://boxd.it/2aze,
2,Mulholland Drive,2001,https://boxd.it/297o,
3,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,
4,My Night at Maud's,1969,https://boxd.it/Hwo,
5,One Battle After Another,2025,https://boxd.it/DUHM,
6,Sleepless in Seattle,1993,https://boxd.it/29re,
7,The Apartment,1960,https://boxd.it/2aGE,
8,Casablanca,1942,https://boxd.it/2aG0,
9,Amélie,2001,https://boxd.it/2aUc,
10,"Paris, Texas",1984,https://boxd.it/29Ts,
11,Blue Velvet,1986,https://boxd.it/29BI,
12,Brick,2005,https://boxd.it/1Z6A,
13,12 Angry Men,1957,https://boxd.it/2auI,
14,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
15,Bend It Like Beckham,2002,https://boxd.it/2am0,
16,Project Hail Mary,2026,https://boxd.it/pEeQ,
