Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-11-02,late night cinema,,https://boxd.it/PS7Lc,"movies where it's just night or for the most of it and someone's just confused for the whole time. Well, i just watch them when I'm not able to sleep and I end up not sleeping at all so do give em a shot :)
I don't know why but these movie definitely hit the spot, maybe they give me a false yet comforting sense of freedom which I'll never have in my life, or maybe i project myself into the charectors, I just really don't know but guess what that's me, unapologetically me. see ya :)) also sidenote this list reminds me of that harry styles song, we've been doin all these late night, talkin... Ayyyayayyyyy.  "

Position,Name,Year,URL,Description
1,Into the Night,1985,https://boxd.it/1U5W,
2,After Hours,1985,https://boxd.it/1VfS,
3,Adventures in Babysitting,1987,https://boxd.it/1Ofc,
4,Dazed and Confused,1993,https://boxd.it/1Ylk,
5,American Graffiti,1973,https://boxd.it/29us,
6,The Apartment,1960,https://boxd.it/2aGE,
7,My Night at Maud's,1969,https://boxd.it/Hwo,
8,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,
9,The Batman,2022,https://boxd.it/eDGs,
10,In Bruges,2008,https://boxd.it/20n8,
11,Magnolia,1999,https://boxd.it/2aze,
12,Fight Club,1999,https://boxd.it/2a9q,
13,Miracle Mile,1988,https://boxd.it/1x68,
14,The Man Who Knew Too Little,1997,https://boxd.it/1YKa,
15,Sleepless in Seattle,1993,https://boxd.it/29re,
16,Nick and Norah's Infinite Playlist,2008,https://boxd.it/1Slo,
17,Chungking Express,1994,https://boxd.it/1UDa,
18,Plus One,2019,https://boxd.it/inpo,
19,Jaane Tu... Ya Jaane Na,2008,https://boxd.it/1O2i,
20,12 Angry Men,1957,https://boxd.it/2auI,
21,Brick,2005,https://boxd.it/1Z6A,
22,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
23,Submarine,2010,https://boxd.it/H4a,
24,Raising Arizona,1987,https://boxd.it/2avQ,
