Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-07,movies that my brother forced me to watch // recommended me,,https://boxd.it/Pm0R4,shoutout goat

Position,Name,Year,URL,Description
1,In Bruges,2008,https://boxd.it/20n8,
2,The Thing,1982,https://boxd.it/294O,
3,Shrek,2001,https://boxd.it/29zi,
4,Shrek 2,2004,https://boxd.it/29z8,
5,Snatch,2000,https://boxd.it/2b7U,
6,Minions,2015,https://boxd.it/6jCO,
7,Event Horizon,1997,https://boxd.it/20d8,
8,Annihilation,2018,https://boxd.it/9yzm,
9,Memories of Murder,2003,https://boxd.it/1TSo,
10,"I, Robot",2004,https://boxd.it/27y8,
11,Blade Runner,1982,https://boxd.it/2bcA,
12,Blade Runner 2049,2017,https://boxd.it/b8wK,
13,Alien,1979,https://boxd.it/2awY,
