Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-06,my annual re-watch-es,,https://boxd.it/PjZHI,"So i have this thing going on for past couple of years where i re-watch these movies every once a year. just once. yeah that's all. no what do you mean there's a catch. that's the whole point I pick a movie watch it and forget it for a year and then, i.... um.....re-watch them .  :)"

Position,Name,Year,URL,Description
1,The Thing,1982,https://boxd.it/294O,
2,Yes Man,2008,https://boxd.it/1WPW,
3,Magnolia,1999,https://boxd.it/2aze,
4,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
5,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,
6,Adventures in Babysitting,1987,https://boxd.it/1Ofc,
7,The Apartment,1960,https://boxd.it/2aGE,
8,My Night at Maud's,1969,https://boxd.it/Hwo,
9,The Neighbors' Window,2019,https://boxd.it/m92e,
10,Plus One,2019,https://boxd.it/inpo,
11,Click,2006,https://boxd.it/1YVM,
12,American Graffiti,1973,https://boxd.it/29us,
13,12 Angry Men,1957,https://boxd.it/2auI,
14,Raising Arizona,1987,https://boxd.it/2avQ,
15,Bend It Like Beckham,2002,https://boxd.it/2am0,
16,Project Hail Mary,2026,https://boxd.it/pEeQ,
17,Riding in Cars with Boys,2001,https://boxd.it/1UF6,
