Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-18,my hopeless romantic collection ,,https://boxd.it/QKgzW,"self explanatory list, plot or subplot is just a person chasing someone :)"

Position,Name,Year,URL,Description
1,When Harry Met Sally...,1989,https://boxd.it/29W2,
2,Sleepless in Seattle,1993,https://boxd.it/29re,
3,Amélie,2001,https://boxd.it/2aUc,
4,Chungking Express,1994,https://boxd.it/1UDa,
5,Notting Hill,1999,https://boxd.it/2aeK,
6,My Night at Maud's,1969,https://boxd.it/Hwo,
7,Everybody Wants Some!!,2016,https://boxd.it/9mgM,
8,The Apartment,1960,https://boxd.it/2aGE,
9,Just One of the Guys,1985,https://boxd.it/1xtm,
10,Into the Night,1985,https://boxd.it/1U5W,
11,Nick and Norah's Infinite Playlist,2008,https://boxd.it/1Slo,
12,You've Got Mail,1998,https://boxd.it/1Yye,
13,Midnight in Paris,2011,https://boxd.it/i4a,
14,Plus One,2019,https://boxd.it/inpo,
15,Submarine,2010,https://boxd.it/H4a,
16,Bend It Like Beckham,2002,https://boxd.it/2am0,
17,That Night,1992,https://boxd.it/1dZs,
18,Riding in Cars with Boys,2001,https://boxd.it/1UF6,
