Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-07-13,my offline collection,,https://boxd.it/VEcIo,"go check out > shiiiivanshsingh.github.io/offline-movie-db

shoutout my mac's 512 gigs :)"

Position,Name,Year,URL,Description
1,Thesis,1996,https://boxd.it/1Z1U,
2,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,
3,Psycho,1960,https://boxd.it/2ab2,
4,Little Women,2019,https://boxd.it/aSVk,
5,Toni Erdmann,2016,https://boxd.it/d0xu,
6,Run Lola Run,1998,https://boxd.it/2b8o,
7,The Big Lebowski,1998,https://boxd.it/2b6C,
8,Fight Club,1999,https://boxd.it/2a9q,
9,Party Girl,1995,https://boxd.it/1b7e,
10,A Clockwork Orange,1971,https://boxd.it/2aVE,
11,Aftersun,2022,https://boxd.it/Arw0,
12,Wild at Heart,1990,https://boxd.it/2aii,
13,Paprika,2006,https://boxd.it/23wW,
14,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,
15,The Departed,2006,https://boxd.it/28MA,
16,Withnail & I,1987,https://boxd.it/1Qa4,
17,Heathers,1989,https://boxd.it/26x4,
18,Diabolique,1955,https://boxd.it/29we,
19,Columbus,2017,https://boxd.it/eCuA,
20,Je Tu Il Elle,1974,https://boxd.it/3gWK,
21,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440,
22,"Yesterday, Today and Tomorrow",1963,https://boxd.it/VZE,
23,Trust,1990,https://boxd.it/18Co,
24,All the Real Girls,2003,https://boxd.it/1QLa,
25,A Special Day,1977,https://boxd.it/Xqc,
26,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,
27,Tomboy,2011,https://boxd.it/49U,
28,High and Low,1963,https://boxd.it/1RSc,
29,My Own Private Idaho,1991,https://boxd.it/2ak4,
30,Thelma,2017,https://boxd.it/e7Ce,
31,Vertigo,1958,https://boxd.it/2apI,
32,8½,1963,https://boxd.it/2aqm,
33,Choose Me,1984,https://boxd.it/XMs,
34,Fried Green Tomatoes,1991,https://boxd.it/28qY,
35,Bonnie and Clyde,1967,https://boxd.it/2ajg,
36,To Be or Not to Be,1942,https://boxd.it/2aTy,
37,Blade Runner,1982,https://boxd.it/2bcA,
38,Trainspotting,1996,https://boxd.it/29XY,
39,The Raid,2011,https://boxd.it/3hBy,
40,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/kiYC,
41,The Lighthouse,2019,https://boxd.it/icFU,
42,She's All That,1999,https://boxd.it/1Wz0,
43,City of God,2002,https://boxd.it/2a2a,
44,Roman Holiday,1953,https://boxd.it/29zW,
45,The Young Girls of Rochefort,1967,https://boxd.it/26K8,
46,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,
47,Holes,2003,https://boxd.it/20mE,
48,Parachute,2023,https://boxd.it/A0cW,
49,Project Hail Mary,2026,https://boxd.it/pEeQ,
50,Blade Runner 2049,2017,https://boxd.it/b8wK,
51,Drop Dead Gorgeous,1999,https://boxd.it/1W8e,
52,Perfect Blue,1997,https://boxd.it/1W7A,
53,A Room with a View,1986,https://boxd.it/1UfC,
54,Possession,1981,https://boxd.it/1BPm,
55,The Blair Witch Project,1999,https://boxd.it/26ua,
56,Last Night,1998,https://boxd.it/1KLe,
57,Céline and Julie Go Boating,1974,https://boxd.it/1sGA,
58,No Other Choice,2025,https://boxd.it/nKiA,
59,Mike & Nick & Nick & Alice,2026,https://boxd.it/Gcfg,
60,Stranger Than Paradise,1984,https://boxd.it/2ajU,
61,The August Virgin,2019,https://boxd.it/kAU4,
62,Memories of Murder,2003,https://boxd.it/1TSo,
63,A Bronx Tale,1993,https://boxd.it/28uQ,
64,Into the Wild,2007,https://boxd.it/22m2,
65,Woman in the Dunes,1964,https://boxd.it/1JNS,
66,My Summer of Love,2004,https://boxd.it/1XZI,
67,Dirty Dancing,1987,https://boxd.it/2baY,
68,The Virgin Suicides,1999,https://boxd.it/28JG,
69,It's a Wonderful Life,1946,https://boxd.it/28xA,
