Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-15,my top 15 ranked,,https://boxd.it/QFk2W,"i know i have issues.
pls don't judge me lol :)..

big fan of whatever the fuck french are doing with cinema tbh"

Position,Name,Year,URL,Description
1,My Night at Maud's,1969,https://boxd.it/Hwo,
2,Magnolia,1999,https://boxd.it/2aze,
3,Petite Maman,2021,https://boxd.it/s6je,
4,The Apartment,1960,https://boxd.it/2aGE,
5,Adventures in Babysitting,1987,https://boxd.it/1Ofc,
6,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,
7,Bend It Like Beckham,2002,https://boxd.it/2am0,
8,Sleepless in Seattle,1993,https://boxd.it/29re,
9,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
10,Y Tu Mamá También,2001,https://boxd.it/28QM,
11,When Harry Met Sally...,1989,https://boxd.it/29W2,
12,Mulholland Drive,2001,https://boxd.it/297o,
13,Groundhog Day,1993,https://boxd.it/2b3e,
14,Amélie,2001,https://boxd.it/2aUc,
15,One Battle After Another,2025,https://boxd.it/DUHM,
