Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-19,temp2,,https://boxd.it/QLuFw,

Position,Name,Year,URL,Description
1,"Paris, Texas",1984,https://boxd.it/29Ts,
2,Suzhou River,2000,https://boxd.it/1Tsq,
3,In the Mood for Love,2000,https://boxd.it/29tE,
4,Millennium Mambo,2001,https://boxd.it/1Tzw,
5,Fallen Angels,1995,https://boxd.it/1UkW,
6,The Night Before,2015,https://boxd.it/9n9W,
7,The Big Lebowski,1998,https://boxd.it/2b6C,
8,Mulholland Drive,2001,https://boxd.it/297o,
9,Citizen Kane,1941,https://boxd.it/71O,
10,Sunset Boulevard,1950,https://boxd.it/2a20,
11,All Eyes Off Me,2021,https://boxd.it/tWag,
