Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-30,to watch (not in order) ,,https://boxd.it/Ubisk,

Position,Name,Year,URL,Description
1,See It Say It,2024,https://boxd.it/Lewo,
2,Lost Highway,1997,https://boxd.it/29Wc,
3,Boyfriends and Girlfriends,1987,https://boxd.it/14C,
4,My Man Godfrey,1936,https://boxd.it/1PTC,
5,Same Old Song,1997,https://boxd.it/26fu,
6,A Wolf in the Suburbs,2026,https://boxd.it/113yg,
7,Blood Simple,1984,https://boxd.it/1U16,
8,Mortal Kombat II,2026,https://boxd.it/z6iO,
9,Mortal Kombat,2021,https://boxd.it/gswA,
10,The Taste of Others,2000,https://boxd.it/1VBY,
11,"Toh, Ti Ani Fuji",2026,https://boxd.it/ZVLY,
12,Moonstruck,1987,https://boxd.it/27zg,
13,"Sorry, Baby",2025,https://boxd.it/JKNi,
14,¡Three Amigos!,1986,https://boxd.it/20f4,
15,City Slickers,1991,https://boxd.it/28P0,
16,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,
17,Married to the Mob,1988,https://boxd.it/26W4,
18,Vampire's Kiss,1988,https://boxd.it/21aY,
19,Wild at Heart,1990,https://boxd.it/2aii,
20,Girlfriends,1978,https://boxd.it/3JYU,
21,Humanist Vampire Seeking Consenting Suicidal Person,2023,https://boxd.it/Blzk,
22,Bagdad Cafe,1987,https://boxd.it/25fe,
23,Ghost World,2001,https://boxd.it/28Dy,
24,Rear Window,1954,https://boxd.it/2a6Q,
25,Barry Lyndon,1975,https://boxd.it/25A2,
26,Murmur of Youth,1997,https://boxd.it/46O4,
27,Still Walking,2008,https://boxd.it/1wvm,
28,Vive L'Amour,1994,https://boxd.it/2wsa,
29,Stranger Than Paradise,1984,https://boxd.it/2ajU,
30,Happening,2021,https://boxd.it/tRts,
31,Love Streams,1984,https://boxd.it/zOk,
32,A Woman Under the Influence,1974,https://boxd.it/1myg,
33,Opening Night,1977,https://boxd.it/1f4e,
34,Rosetta,1999,https://boxd.it/1TJw,
35,Me and Earl and the Dying Girl,2015,https://boxd.it/9SAE,
36,The Seashell and the Clergyman,1928,https://boxd.it/3VaC,
37,3 Women,1977,https://boxd.it/YPs,
38,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW,
39,The Company of Strangers,1990,https://boxd.it/44PO,
40,Je Tu Il Elle,1974,https://boxd.it/3gWK,
41,The Captive,2000,https://boxd.it/Lcs,
42,Saute ma ville,1968,https://boxd.it/FXW,
43,"The Beloved Child, or I Play at Being a Married Woman",1971,https://boxd.it/eG4Q,
44,La chambre,1972,https://boxd.it/3Gps,
45,Desert Hearts,1985,https://boxd.it/2aFc,
46,Little Darlings,1980,https://boxd.it/1rLa,
47,Sink or Swim,1990,https://boxd.it/44PE,
48,Career Girls,1997,https://boxd.it/G0w,
49,Happy-Go-Lucky,2008,https://boxd.it/1W68,
50,An Education,2009,https://boxd.it/1xcg,
51,Bend It Like Beckham,2002,https://boxd.it/2am0,
52,"Girl, Interrupted",1999,https://boxd.it/25ds,
53,Fried Green Tomatoes,1991,https://boxd.it/28qY,
54,Thelma & Louise,1991,https://boxd.it/28Ew,
55,The Princess Diaries,2001,https://boxd.it/1XCO,
56,The Devil Wears Prada,2006,https://boxd.it/2awE,
57,Go,1999,https://boxd.it/1YHA,
58,Swingers,1996,https://boxd.it/1WNc,
59,The Florida Project,2017,https://boxd.it/dMG0,
60,"sex, lies, and videotape",1989,https://boxd.it/28Oc,
61,Uptown Girls,2003,https://boxd.it/1N64,
