Date,Name,Year,Letterboxd URI,Rating
2025-10-06,Snatch,2000,https://boxd.it/2b7U,5
2025-10-06,My Night at Maud's,1969,https://boxd.it/Hwo,5
2025-10-06,Shrek,2001,https://boxd.it/29zi,5
2025-10-06,Shrek 2,2004,https://boxd.it/29z8,5
2025-10-06,Shrek Forever After,2010,https://boxd.it/1WRo,5
2025-10-06,The Thing,1982,https://boxd.it/294O,5
2025-10-06,Adventures in Babysitting,1987,https://boxd.it/1Ofc,5
2025-10-06,The Edge of Seventeen,2016,https://boxd.it/d5nu,1
2025-10-06,Tenet,2020,https://boxd.it/leq4,4
2025-10-06,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,5
2025-10-06,American Graffiti,1973,https://boxd.it/29us,5
2025-10-06,Fight Club,1999,https://boxd.it/2a9q,5
2025-10-06,Good Will Hunting,1997,https://boxd.it/2ahY,5
2025-10-06,Now You See Me,2013,https://boxd.it/2Bsu,4
2025-10-06,Now You See Me 2,2016,https://boxd.it/99fw,3
2025-10-06,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,3
2025-10-06,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,4
2025-10-06,Mission: Impossible,1996,https://boxd.it/29d2,3
2025-10-06,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/psI,4
2025-10-06,The Dictator,2012,https://boxd.it/2DEW,5
2025-10-06,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,https://boxd.it/rNS0,3
2025-10-06,Ted,2012,https://boxd.it/2pgc,5
2025-10-06,ted,2024,https://boxd.it/KN1y,5
2025-10-06,Ted 2,2015,https://boxd.it/6oCY,5
2025-10-07,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3.5
2025-10-07,Groundhog Day,1993,https://boxd.it/2b3e,5
2025-10-07,Neon Genesis Evangelion,1995,https://boxd.it/ptEI,5
2025-10-07,The Apartment,1960,https://boxd.it/2aGE,5
2025-10-08,He's Just Not That Into You,2009,https://boxd.it/1WSG,3.5
2025-10-26,The Monster of Florence,2025,https://boxd.it/Yq48,4.5
2025-10-28,X,2022,https://boxd.it/sxVa,0.5
2025-10-29,Click,2006,https://boxd.it/1YVM,3.5
2025-10-29,Dumb and Dumber,1994,https://boxd.it/206m,4.5
2025-10-29,In Bruges,2008,https://boxd.it/20n8,4.5
2025-10-29,Free Guy,2021,https://boxd.it/k8dm,2.5
2025-10-29,The Invention of Lying,2009,https://boxd.it/1zGs,3.5
2025-10-29,Why Him?,2016,https://boxd.it/c3Wq,0.5
2025-10-29,"I Love You, Beth Cooper",2009,https://boxd.it/1ErW,3.5
2025-10-29,It Follows,2014,https://boxd.it/87wo,0.5
2025-10-29,1408,2007,https://boxd.it/25Vu,3
2025-10-30,The Jacket,2005,https://boxd.it/1Y6a,3.5
2025-11-01,Constantine,2005,https://boxd.it/2a7E,3.5
2025-11-02,After Hours,1985,https://boxd.it/1VfS,4.5
2025-11-02,Moon Knight,2022,https://boxd.it/zeDq,4.5
2025-11-03,The World's End,2013,https://boxd.it/3EiO,2.5
2025-11-11,The Godfather,1972,https://boxd.it/2aNK,5
2025-11-15,The Recruit,2003,https://boxd.it/28oS,0.5
2025-11-16,Se7en,1995,https://boxd.it/29zs,3.5
2025-11-21,One Battle After Another,2025,https://boxd.it/DUHM,5
2025-11-22,Risky Business,1983,https://boxd.it/1YUE,0.5
2025-11-23,The Menu,2022,https://boxd.it/lScm,0.5
2025-11-23,Stargate,1994,https://boxd.it/27iu,1.5
2025-11-29,Sleepless in Seattle,1993,https://boxd.it/29re,5
2025-11-30,IO,2019,https://boxd.it/fmCU,0.5
2025-11-30,Nick and Norah's Infinite Playlist,2008,https://boxd.it/1Slo,4.5
2025-11-30,You've Got Mail,1998,https://boxd.it/1Yye,5
2025-11-30,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,5
2025-11-30,Cars,2006,https://boxd.it/29ho,5
2025-12-14,Don't Look Up,2021,https://boxd.it/o0Hc,0.5
2025-12-15,Knives Out,2019,https://boxd.it/jWEA,4.5
2025-12-16,Glass Onion,2022,https://boxd.it/oCkK,3.5
2025-12-16,Minions,2015,https://boxd.it/6jCO,4.5
2025-12-17,Notting Hill,1999,https://boxd.it/2aeK,5
2025-12-18,Now You See Me: Now You Don't,2025,https://boxd.it/f3i2,3.5
2025-12-18,Amélie,2001,https://boxd.it/2aUc,5
2025-12-18,Chungking Express,1994,https://boxd.it/1UDa,4.5
2025-12-19,Fallen Angels,1995,https://boxd.it/1UkW,5
2025-12-20,Mulholland Drive,2001,https://boxd.it/297o,5
2025-12-25,Home Alone,1990,https://boxd.it/29Fg,4.5
2025-12-25,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2025-12-25,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ,4
2025-12-26,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2025-12-26,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2025-12-26,The Wolf of Wall Street,2013,https://boxd.it/3C1m,4
2025-12-26,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2025-12-26,Shutter Island,2010,https://boxd.it/1U82,4
2025-12-26,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2025-12-26,GoodFellas,1990,https://boxd.it/29FA,4.5
2025-12-26,Catch Me If You Can,2002,https://boxd.it/29VS,3.5
2025-12-26,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,4.5
2025-12-26,Wake Up Dead Man,2025,https://boxd.it/uAKS,4.5
2025-12-26,The Worst Person in the World,2021,https://boxd.it/oyws,4.5
2025-12-26,"Paris, Texas",1984,https://boxd.it/29Ts,4
2025-12-26,Midnight in Paris,2011,https://boxd.it/i4a,4
2025-12-26,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,3
2025-12-26,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,4
2025-12-26,Everybody Wants Some!!,2016,https://boxd.it/9mgM,4.5
2025-12-26,The Night Before,2015,https://boxd.it/9n9W,3.5
2025-12-26,The Neighbors' Window,2019,https://boxd.it/m92e,4.5
2025-12-27,The Piano Teacher,2001,https://boxd.it/2886,0.5
2025-12-27,Twelve Monkeys,1995,https://boxd.it/2beQ,1
2025-12-27,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,5
2025-12-27,Ghost,1990,https://boxd.it/2aLE,3.5
2025-12-27,Spree,2020,https://boxd.it/oiiO,0.5
2025-12-27,The Godfather Part II,1974,https://boxd.it/2aNq,4.5
2025-12-27,The Godfather Part III,1990,https://boxd.it/2aN6,3.5
2025-12-29,Desi Boyz,2011,https://boxd.it/2MOw,4
2025-12-29,Boss,2013,https://boxd.it/6JlY,4
2025-12-29,Khiladi 786,2012,https://boxd.it/4GuE,5
2025-12-29,Happy New Year,2014,https://boxd.it/8sf4,3.5
2025-12-29,M.S. Dhoni: The Untold Story,2016,https://boxd.it/dyem,5
2025-12-31,Sentimental Value,2025,https://boxd.it/GwcG,5
2026-01-03,In the Mood for Love,2000,https://boxd.it/29tE,4
2026-01-10,May,2002,https://boxd.it/1V8M,1
2026-01-10,The Untamed,2016,https://boxd.it/dwAK,0.5
2026-01-17,The Silence of the Lambs,1991,https://boxd.it/2aHW,5
2026-01-18,Hannibal,2001,https://boxd.it/1XVc,4
2026-01-18,Anatomy of a Fall,2023,https://boxd.it/yuDE,4.5
2026-01-25,Zodiac,2007,https://boxd.it/27MO,3.5
2026-01-25,12 Angry Men,1957,https://boxd.it/2auI,5
2026-01-25,Bugonia,2025,https://boxd.it/qeWY,3.5
2026-01-25,A House of Dynamite,2025,https://boxd.it/NcXc,2.5
2026-01-25,Kick,2014,https://boxd.it/8DPW,4
2026-01-25,Jaane Tu... Ya Jaane Na,2008,https://boxd.it/1O2i,3.5
2026-01-31,Magnolia,1999,https://boxd.it/2aze,5
2026-02-01,Casablanca,1942,https://boxd.it/2aG0,4.5
2026-02-01,When Harry Met Sally...,1989,https://boxd.it/29W2,5
2026-02-09,Superman,2025,https://boxd.it/E9IU,1.5
2026-02-09,The Dark Knight Rises,2012,https://boxd.it/H3m,4.5
2026-02-09,Batman Begins,2005,https://boxd.it/2aIg,4
2026-02-09,Shaun of the Dead,2004,https://boxd.it/29J8,4.5
2026-02-09,Dazed and Confused,1993,https://boxd.it/1Ylk,4.5
2026-02-09,Shrek the Third,2007,https://boxd.it/29yY,4.5
2026-02-09,The Mask,1994,https://boxd.it/29rS,4
2026-02-09,Mission: Impossible – Rogue Nation,2015,https://boxd.it/5rI4,4
2026-02-09,Liar Liar,1997,https://boxd.it/28sg,4.5
2026-02-09,The Ba***ds of Bollywood,2025,https://boxd.it/XHCa,4
2026-02-09,The Man Who Knew Too Little,1997,https://boxd.it/1YKa,4.5
2026-02-09,Just One of the Guys,1985,https://boxd.it/1xtm,4.5
2026-02-09,Tall Dark and Handsome,2023,https://boxd.it/Jb6o,4.5
2026-02-09,Inception,2010,https://boxd.it/1skk,5
2026-02-09,The Truman Show,1998,https://boxd.it/18U8,4
2026-02-09,The Dark Knight,2008,https://boxd.it/2b0k,4
2026-02-09,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,5
2026-02-09,Scarface,1983,https://boxd.it/2b7g,5
2026-02-09,Frances Ha,2012,https://boxd.it/41Xg,5
2026-02-09,Y Tu Mamá También,2001,https://boxd.it/28QM,5
2026-02-14,Marty Supreme,2025,https://boxd.it/Off0,1.5
2026-02-14,Night on Earth,1991,https://boxd.it/2ayq,4.5
2026-02-22,Superbad,2007,https://boxd.it/20hO,4.5
2026-02-23,10 Things I Hate About You,1999,https://boxd.it/23AO,4.5
2026-03-26,The Daytrippers,1996,https://boxd.it/F9i,4
2026-03-26,Harold and Maude,1971,https://boxd.it/2axM,3.5
2026-03-29,Petite Maman,2021,https://boxd.it/s6je,5
2026-03-29,Punch-Drunk Love,2002,https://boxd.it/20E4,4
2026-03-29,Dhurandhar,2025,https://boxd.it/NhCI,3
2026-03-29,It's Entertainment,2014,https://boxd.it/8uRO,4
2026-03-29,Submarine,2010,https://boxd.it/H4a,3.5
2026-03-29,La Notte,1961,https://boxd.it/10iU,3.5
2026-03-29,Boogie Nights,1997,https://boxd.it/23um,3.5
2026-03-29,Kyo Kii... Main Jhuth Nahin Bolta,2001,https://boxd.it/59Pw,3.5
2026-03-29,Brick,2005,https://boxd.it/1Z6A,4.5
2026-03-29,Summr Lovr,2025,https://boxd.it/ZoZI,3.5
2026-04-03,Little Miss Sunshine,2006,https://boxd.it/29EW,5
2026-04-11,Aftersun,2022,https://boxd.it/Arw0,5
2026-04-17,Jumbo,2020,https://boxd.it/iu1o,0.5
2026-04-19,"Synecdoche, New York",2008,https://boxd.it/23zw,4
2026-04-19,PlayTime,1967,https://boxd.it/1WLK,4
2026-04-19,Miracle Mile,1988,https://boxd.it/1x68,5
2026-04-24,Secret Admirer,1985,https://boxd.it/1x5E,4.5
2026-04-26,Raising Arizona,1987,https://boxd.it/2avQ,5
2026-04-27,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,1
2026-05-01,Bend It Like Beckham,2002,https://boxd.it/2am0,5
