Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-10-06,My Night at Maud's,1969,https://boxd.it/bh2DNr,5,,"CHRISTMAS 2024, i really really want to kms right fucking now I'm soo serious",,2024-12-25
2025-10-06,The Thing,1982,https://boxd.it/bh2GVt,5,,art,,2025-10-05
2025-10-06,Dishoom,2016,https://boxd.it/bh2S63,3.5,,cinema,,2017-12-01
2025-10-06,Fight Club,1999,https://boxd.it/bh2UaB,5,,first rule,,2023-06-14
2025-10-06,Shaun of the Dead,2004,https://boxd.it/bh2VG9,4.5,,classic,,2023-06-15
2025-10-06,Remember Me,2010,https://boxd.it/bh2WTj,1.5,,nah wtf is this ending dawg?,,2023-09-11
2025-10-06,The Dictator,2012,https://boxd.it/bh33Jb,5,,cinema,,2025-10-05
2025-10-06,Joker,2019,https://boxd.it/bhbaiR,4,Yes,absolute masterpiece!!!!!!!!!,,2023-05-15
2025-10-06,Shrek Forever After,2010,https://boxd.it/bhbdEr,5,Yes,short kings always win,,2024-11-29
2025-10-06,The Thing,1982,https://boxd.it/bhbhmh,5,Yes,question your coworkers pls,,2024-10-25
2025-10-06,Snatch,2000,https://boxd.it/bhboZl,5,,Bullet Tooth Tony carried !!!!!,,2024-10-26
2025-10-06,The Dictator,2012,https://boxd.it/bhbBnJ,,Yes,"Do you want the Aladeen news or the Aladeen news?
The Aladeen news?

> You are HIV-Aladeen

11/10",,2025-10-05
2025-10-06,Adventures in Babysitting,1987,https://boxd.it/bhbPF3,5,,"I love how perfectly this movie captures the charm of Chicago. I’ve never seen something so chaotic yet so fun :)

10/10 comfort movie.
will watch it again tonight :)",,2025-09-10
2025-10-06,ted,2024,https://boxd.it/bhcyp5,5,,"I absolutely loved the Christmas episode. First watch was easily top 5 experiences oat.


I firmly believe that Seth actually iss modern day Shakespeare :)",,2024-12-20
2025-10-07,In Bruges,2008,https://boxd.it/bhPwnf,5,,"in love w/ an inanimate object

10/10 shoutout my brother who showed me this gem",,2024-11-26
2025-10-07,Groundhog Day,1993,https://boxd.it/bhPDUl,5,,"this is the movie I watch everytime I feel I'm getting too comfortable with mediocrity. I don't know but this movie has changed me as person. I saw this movie for the first time when I was 16. Didn't thought much of it then. Cut forward to the time when I'm re-watching in my freshman year of college feeling miserable about my life. Really got me up all night rethinking about the wonderful privelages i have in my life. Really a true gem!

n side note i fuckin love doris day man less fuckin gooo








que será,será ❤️",,2023-10-17
2025-10-07,The Apartment,1960,https://boxd.it/bhVroT,5,,"Why the fuck this movie has some of the most thought-provoking dialogues and visual storytelling I’ve seen. I mean, woww!!

 And the ending was just poetic justice, man. 

Can’t recommend this enough.",,2025-10-06
2025-10-07,The Apartment,1960,https://boxd.it/bhVsRH,5,Yes,"The mirror... it’s broken.
Yes, I know. I like it that way. Makes me look the way I feel.

11/10 great time rewatching this gem",,2025-10-31
2025-10-07,Midnight in Paris,2011,https://boxd.it/bhXqIn,5,,"    Man Ray: A man in love with a woman from a different era. I see a photograph!
    Luis Buñuel: I see a film!
    Gil: I see an insurmountable problem!
    Salvador Dalí: I see a rhinoceros!


10/10 loved itt!!",,2025-10-07
2025-10-07,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/bi07N5,5,,"real shit. 

10/10 worth rewatching 

and yeah too many guys think I'm a concept, or I complete them, or I'm gonna make them alive. But I'm just a fucked-up girl who's lookin' for my own peace of mind; don't assign me yours.

good day stalker :) hope one day ill meet someone whose not boring, untill someday they become boring, see ya!",,2025-10-07
2025-10-07,The Thing,1982,https://boxd.it/bi0gOB,5,Yes,"bro in the ending when they say ""just sit here for a while, see what happens"" is soo fucking cinema!!!!


masterpiece",,2025-02-15
2025-10-07,Ferris Bueller's Day Off,1986,https://boxd.it/biiUtz,5,,"Life moves pretty fast. If you don't stop and look around once in a while, you could miss it

another banger",,2025-10-07
2025-10-08,Magnolia,1999,https://boxd.it/binG6V,3,,it's raining frogssss,,2025-10-07
2025-10-09,Ted 2,2015,https://boxd.it/bj0WAP,5,Yes,"10 years and it still hits the same ✨
10/10",,2025-10-08
2025-10-09,Main Tera Hero,2014,https://boxd.it/bjopo5,3.5,Yes,"i know there is no point of writing this here but here we areee and I will never ever experience thr memory of watching this movie for teg first timee. 3 am me akshat were in vc discussing about crap bollywood rip-offs/flops and ended up watching this entire movie. The inside joke the laughs the over the top comedy I will never forget the experience I had.

Best 3 am watch of 2025. I'll forever cherish this moment.",,2025-10-09
2025-10-26,The Monster of Florence,2025,https://boxd.it/bu4Foz,4.5,,nah they actually cooked with this one!!!,,2025-10-25
2025-10-29,Adventures in Babysitting,1987,https://boxd.it/bwvKZd,,Yes,i can re-watch this for the rest of my life. mann i just love the soundtrack it's soo coooool. I have soo much more to add I will prolly do it later. take care.,,2025-10-29
2025-10-29,"I Love You, Beth Cooper",2009,https://boxd.it/bwza8Z,3.5,,"anyone wants to be ""Rich"" of my life. 

hmu

btw coming of age this movie made me feel soo many different emotions and in a good way ofcourse that it's quite hard to describe but I loved watching very single minute of it. That's the beauty of nostalgia or some idk.",,2023-05-20
2025-10-29,Searching,2018,https://boxd.it/bwBr8B,0.5,,yo mr. editor hit me upp,,2025-10-29
2025-11-02,After Hours,1985,https://boxd.it/bzhsxJ,4.5,,"I was trying to get some sleep, so naturally just decided to put on this movie i had on my watchlist for a very long time. While watching it i genuinely thought to myself “I’m having a really weird dream” but all I was doing was just watching this movie. Watching AfterHours in the after hours just as god intended. CINEEEMAA",,2025-11-02
2025-11-02,Into the Night,1985,https://boxd.it/bzol9z,5,,"whoever made this film, made this for me. I dig this shie no cap.

This shit is soo fucking random, the bad guy instantly shoots himself point blank when ed asks him what's wrong with his life.

idk what's with this genre of movie where it's just night and a dude's just confused. Whatever it is, it hits the spot. Had soo much fun watching this. This n After Hours are like long lost bros",,2025-11-02
2025-11-03,Miracle Mile,1988,https://boxd.it/bzU7YH,4.5,,"This is what my dreams feel like lmao. It starts as a quirky 80's romance but soon spirals into a tense anxiety inducing thriller and honestly I loved it. Though I was slightly disappointed with the ending but, you know what, that fine. This one just feels like a dream, loved the depiction of neon-lit LA, one of my favorite aspects of this movie. Cherry on top, Tangerine Dream score. Loved it.",,2025-11-02
2025-11-10,Scarface,1983,https://boxd.it/bEJpQJ,5,,"very accurate title, tony indeed had a scar on his face. 10/10",,2025-11-09
2025-11-10,Heat,1995,https://boxd.it/bEXXk1,4,,such tragic end to a lovely romcom.,,2025-11-10
2025-11-11,The Godfather,1972,https://boxd.it/bFuJFl,5,Yes,"in Sicily, women are more dangerous than shotguns, and sometimes they even blow up. What a masterpiece! 10/10",,2025-11-10
2025-11-11,The Godfather,1972,https://boxd.it/bFwFsr,,,"Short kings keep winning as always :) 

I wish I had even 10% of young Al Pacino’s charisma. man, this guy was something special in his prime.",,2023-02-06
2025-11-15,GoodFellas,1990,https://boxd.it/bIb0NN,5,,"I just want to dearly appreciate the scene where Henry takes his wife to the restaurant. That tracking shot was so good, man. On top of that, the background music was just perfect for the moment. Definitely my favourite scene of this movie. Adding more to that, Henry is one lucky man to have a wife who wakes him up with a gun pointed to my face. That's crazy, where can I find one.  Apart from the good, some parts of movie were just, meh.
Especially the ending and lack of exploration of side charectors. But still I enjoyed watching this. see ya next Saturday with another one.",,2025-11-15
2025-11-15,GoodFellas,1990,https://boxd.it/bIb2DP,,,there weren't a whole lot of good fellas in here sadly.,,2025-11-15
2025-11-16,Inglourious Basterds,2009,https://boxd.it/bIQUmP,5,,this movie is historically inaccurate,,2025-11-15
2025-11-16,Inglourious Basterds,2009,https://boxd.it/bIR07B,,,"you know what, this might just be Tarantino's masterpiece.",,2025-11-15
2025-11-16,The Recruit,2003,https://boxd.it/bIRAC1,0.5,,"Burke invented gaslighting, man wtf?",,2025-11-14
2025-11-16,Pixels,2015,https://boxd.it/bIRG0d,2.5,,"Don't get me wrong, but fuck you Teodor",,2023-05-18
2025-11-16,Se7en,1995,https://boxd.it/bIV2V7,3.5,,first time saw mr. Freeman laughing this hard.,,2025-11-16
2025-11-21,One Battle After Another,2025,https://boxd.it/bMjcdT,5,,"Well, i just wanna say, me n pta both are fucking sick man. First watch experience was truly goated especially me being super sick and bedridden.Shame i didn't watched this in a theatre instead, I watched this masterpiece lying half dead on my bed. Regardless, was completely worth it. PTA u a Motherfuckin' g. Especially the scene where camera locks on to car frame when willa is finally free. The attention to detail is just over the roof. Definitely the best movie to come out this year.",,2025-11-20
2025-11-23,The Menu,2022,https://boxd.it/bNwE6r,0.5,,malding chef vs a literal <i><b>cheeseburger</b></i>,,2023-08-12
2025-11-23,Stargate,1994,https://boxd.it/bNFq9J,1.5,,"They used fucking Papyrus in the intro credits.

 They definitely know ball.",,2025-11-22
2025-11-23,Sorcerer,1977,https://boxd.it/bNH2T3,4.5,,"Thank God I have no idea how to drive a truck.
Jokes apart, such beautiful storytelling. Truly about control over one's fate. Each one was running from their fate but was ultimately pulled back to it. I love the title ""Sorcerer"" which, while he was an evil wizard, here the evil wizard was actually fate. It goes into something deep, like do we even have control over our own fate. I loved the ending so much where *spoilers* :)",,2025-11-22
2025-11-23,Pulp Fiction,1994,https://boxd.it/bNLQw7,,Yes,i love you maria de medeiros,,2025-11-23
2025-11-23,The Girl Next Door,2004,https://boxd.it/bNNMCJ,3,,"Nahh man this movie didn't hot the spot, call it bad writing or sloppy acting but it just didn't hit the spot.

 Anyways this movie reminds me of the song Lachak by Bhaskar which came quite recently, im flabbergasted how well these two media go hand in hand.",,2022-06-16
2025-11-26,The Perks of Being a Wallflower,2012,https://boxd.it/bQ2W8R,2.5,,"Enjoyed it at times but tbh it was defo not my type. very predictable and soul-less at times. But I did find a good quote from this one-<blockquote>we accept the love we think we deserve.</blockquote>Maybe it has something to do with this genre. I hate this feeling, the one I had while watching it.
This movie does made me realise a thing or two about myself and it got me thinking about it for a couple of hours. So as an ultimate act of bravery and hope that no one will read this I will put this in public so please do not, yes do not read what's below. Bye. Leave. Thx. So you've decide to stick so if you know me and see me irl never ever mention this, I'll go a lil bit off topic here, I felt something i don't actually feel. Maybe that's why I felt bad, honestly idk. Again apologies for over-sharing so bear with me, I had no friends in hs and barely anyone to talk to in my college but I still believe im not doing pretty fine because I have myself (copium) i know it gets pretty isolating at times but guess what, you've gotta deal with it. I wish I had a super cool friend but safe to say I feel like I am the problem, there truly is no one to whom I can open up, or share how's my day going, how's my life going, how's the counter strike major going, i truly feel alone but all I gotta do it's cope with it. I hope someday it'll get better. Untill next time, seeya :)",,2025-11-25
2025-11-26,Y Tu Mamá También,2001,https://boxd.it/bQ7VUl,4.5,,"What a masterpiece.
I just don’t have much to say because the ending had me feeling numb. I wonder how it somehow left me feeling soo hollow afterward. This movie was on my watchlist for soo long but I think I've picked just the right day to finally watch it. Such a beautiful storytelling especially how towards the end they both opened up to each other and accepted themselves. And not to mention when the narrator said-<blockquote>""They will never meet again.""</blockquote>
Wow.  Absolute cinema.",,2025-11-26
2025-11-29,Sleepless in Seattle,1993,https://boxd.it/bSkjJD,5,,"What a beautiful take on grieve, loneliness and fate. and yes I felt very good watching this.

anddd btw this movie reminds me of Every Breath You Take, you know the song by The Police! Such a lovely comfort movie it is. Will re-watch it again again for sure. Bye.",,2025-11-29
2025-11-30,When Harry Met Sally...,1989,https://boxd.it/bSm47j,5,,"The fact that she hated him the entire time but he keep on saying things that just makes her forget why she even hated him at the first place.

What in 4d chess is this movie, huh?",,2025-11-29
