Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-05-11,2wa,,https://boxd.it/UoDrS,

Position,Name,Year,URL,Description
1,Brother,1997,https://boxd.it/1CA8,
2,Kicking and Screaming,1995,https://boxd.it/1pHK,
3,La Dolce Vita,1960,https://boxd.it/2anC,
4,Roman Holiday,1953,https://boxd.it/29zW,
5,Cape Fear XXX,2014,https://boxd.it/hl1W,
6,Through Her Lens,2025,https://boxd.it/10NJs,
7,Sing Naked,2025,https://boxd.it/SIva,
8,Dyke Deer,2025,https://boxd.it/Z5t4,
9,XConfessions 27,2021,https://boxd.it/vLHi,
10,Blindsided,2021,https://boxd.it/wy1g,
11,XConfessions 22,2020,https://boxd.it/pUAy,
12,XConfessions 16,2018,https://boxd.it/kRP6,
13,The Gift,2018,https://boxd.it/toSy,
14,Kabitan,2024,https://boxd.it/QM5m,
15,Brownian Movement,2010,https://boxd.it/2sIo,
