Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-03-26,eternal watchlist,2 watch in 2026,https://boxd.it/TsrwK,

Position,Name,Year,URL,Description
1,Portrait of a Young Girl at the End of the 60s in Brussels,1994,https://boxd.it/462a,
2,Carol,2015,https://boxd.it/7DPK,
3,Fried Green Tomatoes,1991,https://boxd.it/28qY,
4,What a Feeling,2024,https://boxd.it/L8Ku,
5,Face/Off,1997,https://boxd.it/29I0,
6,About Time,2013,https://boxd.it/43bI,
7,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,
8,Palm Springs,2020,https://boxd.it/lCXQ,
9,The Devil Wears Prada,2006,https://boxd.it/2awE,
10,Hotel Transylvania,2012,https://boxd.it/2DF6,
11,Storks,2016,https://boxd.it/aUo8,
12,Silver Linings Playbook,2012,https://boxd.it/2TTo,
13,Phantom,2015,https://boxd.it/bVQk,
14,Ajab Prem Ki Ghazab Kahani,2009,https://boxd.it/1wUm,
15,Dil Chahta Hai,2001,https://boxd.it/1Nsk,
16,Requiem for a Dream,2000,https://boxd.it/29VI,
17,After Life,1998,https://boxd.it/1HMI,
18,Local Hero,1983,https://boxd.it/1Uiw,
19,Life Is Sweet,1990,https://boxd.it/19GQ,
20,A Matter of Life and Death,1946,https://boxd.it/1q6K,
21,Licorice Pizza,2021,https://boxd.it/qTKY,
22,A Room with a View,1986,https://boxd.it/1UfC,
23,Beyond the Valley of the Dolls,1970,https://boxd.it/22GQ,
24,Crossing Delancey,1988,https://boxd.it/1rTS,
25,Good Morning,1959,https://boxd.it/2lkk,
26,Only Angels Have Wings,1939,https://boxd.it/Ttw,
27,Smiles of a Summer Night,1955,https://boxd.it/1TcM,
28,Tampopo,1985,https://boxd.it/1SZe,
29,All About Eve,1950,https://boxd.it/29LI,
30,Notorious,1946,https://boxd.it/2aDK,
31,Mildred Pierce,1945,https://boxd.it/25uS,
32,Fish Tank,2009,https://boxd.it/1xBg,
33,Dogfight,1991,https://boxd.it/1NCk,
34,Rosetta,1999,https://boxd.it/1TJw,
35,A Brighter Summer Day,1991,https://boxd.it/1Luy,
36,Repo Man,1984,https://boxd.it/1Plg,
37,Rushmore,1998,https://boxd.it/1TAO,
38,Moonrise Kingdom,2012,https://boxd.it/2Wng,
39,Petite Maman,2021,https://boxd.it/s6je,
40,One Night in Miami...,2020,https://boxd.it/oCUo,
41,Punch-Drunk Love,2002,https://boxd.it/20E4,
42,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI,
43,Night of the Living Dead,1968,https://boxd.it/1WwA,
44,The Night Porter,1974,https://boxd.it/1tsk,
45,Klute,1971,https://boxd.it/2ako,
46,Stranger Than Paradise,1984,https://boxd.it/2ajU,
47,'Round Midnight,1986,https://boxd.it/1NC0,
48,The Age of Innocence,1993,https://boxd.it/1WgM,
49,Elevator to the Gallows,1958,https://boxd.it/294u,
50,Lost Highway,1997,https://boxd.it/29Wc,
51,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
52,His Girl Friday,1940,https://boxd.it/25M8,
53,The Celebration,1998,https://boxd.it/2aCM,
54,A Woman Under the Influence,1974,https://boxd.it/1myg,
55,Thelma & Louise,1991,https://boxd.it/28Ew,
56,Midnight Cowboy,1969,https://boxd.it/25Hi,
57,Populaire,2012,https://boxd.it/4oAa,
58,Brooklyn,2015,https://boxd.it/5bdk,
59,The Dreamers,2003,https://boxd.it/28X4,
60,Priceless,2006,https://boxd.it/21pa,
61,Things to Come,2016,https://boxd.it/d0wc,
62,The Rendez-Vous of Déjà-Vu,2013,https://boxd.it/5Lzw,
63,Delicacy,2011,https://boxd.it/2Qmc,
64,Two Is a Family,2016,https://boxd.it/dk7w,
