Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-05-31,kids discovering intricacies of mortal life,,https://boxd.it/ULz8I,me circa.2014

Position,Name,Year,URL,Description
1,Petite Maman,2021,https://boxd.it/s6je,
2,Boyhood,2014,https://boxd.it/3178,
3,A Brighter Summer Day,1991,https://boxd.it/1Luy,
4,Me and Earl and the Dying Girl,2015,https://boxd.it/9SAE,
5,Stand by Me,1986,https://boxd.it/2aOe,
6,Aftersun,2022,https://boxd.it/Arw0,
7,Fish Tank,2009,https://boxd.it/1xBg,
8,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,
9,Pan's Labyrinth,2006,https://boxd.it/28No,
10,Empire of the Sun,1987,https://boxd.it/1X4i,
11,Eighth Grade,2018,https://boxd.it/hDMG,
12,The Tree of Life,2011,https://boxd.it/1Zu8,
13,The Way Way Back,2013,https://boxd.it/4Gwq,
14,Kes,1969,https://boxd.it/1Qi8,
15,Columbus,2017,https://boxd.it/eCuA,
16,Harold and Maude,1971,https://boxd.it/2axM,
17,The Last Picture Show,1971,https://boxd.it/1weg,
18,Riding in Cars with Boys,2001,https://boxd.it/1UF6,
19,Falcon Lake,2022,https://boxd.it/zHkW,
