Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-07-03,Movies that felt a little too much (and my eyes agreed),,https://boxd.it/Vr2Wa,"Yes I am a sensitive young man, now what to do. Everyday when I go to bed I'm thinking about one of these."

Position,Name,Year,URL,Description
1,Aftersun,2022,https://boxd.it/Arw0,
2,Incendies,2010,https://boxd.it/Msm,
3,Magnolia,1999,https://boxd.it/2aze,
4,Me and Earl and the Dying Girl,2015,https://boxd.it/9SAE,
5,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,
6,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
7,Petite Maman,2021,https://boxd.it/s6je,
8,Y Tu Mamá También,2001,https://boxd.it/28QM,
9,"Paris, Texas",1984,https://boxd.it/29Ts,
10,The Worst Person in the World,2021,https://boxd.it/oyws,
11,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
12,The Edge of Seventeen,2016,https://boxd.it/d5nu,
13,Mysterious Skin,2004,https://boxd.it/1UsG,
14,I'm Still Here,2024,https://boxd.it/BPEO,
