Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-14,"movies where night is symbolism for something, not sure what but pretty cool nevertheless ",,https://boxd.it/SAkRy,my sleep demon is cadiaN from the old HEROIC roster screaming at me asking to grind more faceit..

Position,Name,Year,URL,Description
1,Night on Earth,1991,https://boxd.it/2ayq,
2,Casablanca,1942,https://boxd.it/2aG0,
3,After Hours,1985,https://boxd.it/1VfS,
4,Into the Night,1985,https://boxd.it/1U5W,
5,Miracle Mile,1988,https://boxd.it/1x68,
6,"Paris, Texas",1984,https://boxd.it/29Ts,
7,Sleepless in Seattle,1993,https://boxd.it/29re,
8,The Man Who Knew Too Little,1997,https://boxd.it/1YKa,
9,Mulholland Drive,2001,https://boxd.it/297o,
10,Adventures in Babysitting,1987,https://boxd.it/1Ofc,
11,Dazed and Confused,1993,https://boxd.it/1Ylk,
12,Fallen Angels,1995,https://boxd.it/1UkW,
13,Nick and Norah's Infinite Playlist,2008,https://boxd.it/1Slo,
14,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,
15,Jaane Tu... Ya Jaane Na,2008,https://boxd.it/1O2i,
16,Submarine,2010,https://boxd.it/H4a,
17,That Night,1992,https://boxd.it/1dZs,
