Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-05-31,nostalgia / reflecting on the past,,https://boxd.it/ULyQk,hmmm psg b2b ucl

Position,Name,Year,URL,Description
1,Aftersun,2022,https://boxd.it/Arw0,
2,Petite Maman,2021,https://boxd.it/s6je,
3,Stand by Me,1986,https://boxd.it/2aOe,
4,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
5,Dazed and Confused,1993,https://boxd.it/1Ylk,
6,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,
7,The Florida Project,2017,https://boxd.it/dMG0,
8,The Worst Person in the World,2021,https://boxd.it/oyws,
9,The Tree of Life,2011,https://boxd.it/1Zu8,
10,All of Us Strangers,2023,https://boxd.it/Bz3C,
11,Apollo 10½: A Space Age Childhood,2022,https://boxd.it/oKiM,
12,The Way Way Back,2013,https://boxd.it/4Gwq,
13,Columbus,2017,https://boxd.it/eCuA,
14,Flipped,2010,https://boxd.it/Tb8,
15,The Last Picture Show,1971,https://boxd.it/1weg,
16,Riding in Cars with Boys,2001,https://boxd.it/1UF6,
17,Falcon Lake,2022,https://boxd.it/zHkW,
