Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-27,what even is the meaning of life?,,https://boxd.it/QZbJi,"movies about absurdity, hopelessness and somehow hopefulness of life!"

Position,Name,Year,URL,Description
1,Frances Ha,2012,https://boxd.it/41Xg,
2,Magnolia,1999,https://boxd.it/2aze,
3,Y Tu Mamá También,2001,https://boxd.it/28QM,
4,The Worst Person in the World,2021,https://boxd.it/oyws,
5,Sentimental Value,2025,https://boxd.it/GwcG,
6,When Harry Met Sally...,1989,https://boxd.it/29W2,
7,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE,
8,Plus One,2019,https://boxd.it/inpo,
9,Notting Hill,1999,https://boxd.it/2aeK,
10,Chungking Express,1994,https://boxd.it/1UDa,
11,My Night at Maud's,1969,https://boxd.it/Hwo,
12,Emilie Muller,1993,https://boxd.it/ewEO,
13,Fallen Angels,1995,https://boxd.it/1UkW,
14,Adventures in Babysitting,1987,https://boxd.it/1Ofc,
15,Amélie,2001,https://boxd.it/2aUc,
16,Mulholland Drive,2001,https://boxd.it/297o,
17,One Battle After Another,2025,https://boxd.it/DUHM,
18,Tall Dark and Handsome,2023,https://boxd.it/Jb6o,
19,"I Love You, Beth Cooper",2009,https://boxd.it/1ErW,
20,Nick and Norah's Infinite Playlist,2008,https://boxd.it/1Slo,
21,Sleepless in Seattle,1993,https://boxd.it/29re,
22,Just One of the Guys,1985,https://boxd.it/1xtm,
23,Into the Night,1985,https://boxd.it/1U5W,
24,The Graduate,1967,https://boxd.it/18Im,
25,Brokeback Mountain,2005,https://boxd.it/2b2q,
26,Jaane Tu... Ya Jaane Na,2008,https://boxd.it/1O2i,
27,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
28,Submarine,2010,https://boxd.it/H4a,
29,Riding in Cars with Boys,2001,https://boxd.it/1UF6,
