Date,Name,Year,Letterboxd URI
2025-10-07,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2025-10-07,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2025-10-07,Airplane!,1980,https://boxd.it/29yu
2025-10-07,The Hitcher,1986,https://boxd.it/1Yq0
2025-10-08,The Canterville Ghost,1986,https://boxd.it/3yu
2025-10-11,After Sex,2007,https://boxd.it/1JdA
2025-10-26,Céline and Julie Go Boating,1974,https://boxd.it/1sGA
2025-11-02,A Clockwork Orange,1971,https://boxd.it/2aVE
2025-11-02,Paths of Glory,1957,https://boxd.it/29b6
2025-11-02,Something Wild,1986,https://boxd.it/1UbU
2025-11-02,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ
2025-11-03,The Green Mile,1999,https://boxd.it/2agG
2025-11-09,Past Lives,2023,https://boxd.it/oNB8
2025-11-15,Cocktail,1988,https://boxd.it/20QE
2025-11-15,Losin' It,1982,https://boxd.it/1f2M
2025-11-16,Rain Man,1988,https://boxd.it/2avw
2025-11-16,Human Traffic,1999,https://boxd.it/1Uz8
2025-11-16,Taxi Driver,1976,https://boxd.it/2b8y
2025-11-19,Gladiator,2000,https://boxd.it/2b9m
2025-11-21,Film Club,2025,https://boxd.it/Y6su
2025-11-21,Twin Peaks,1989,https://boxd.it/g8pk
2025-11-22,Four Lions,2010,https://boxd.it/18do
2025-11-23,Unbreakable,2000,https://boxd.it/1XV2
2025-11-28,The Pervert's Guide to Cinema,2005,https://boxd.it/1e48
2025-12-01,The King of Comedy,1982,https://boxd.it/2aJS
2025-12-02,High and Low,1963,https://boxd.it/1RSc
2025-12-10,"Oh, Hi!",2025,https://boxd.it/PLns
2025-12-10,Good Fortune,2025,https://boxd.it/GavG
2025-12-11,2012,2009,https://boxd.it/1OE2
2025-12-13,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK
2025-12-13,The Brutalist,2024,https://boxd.it/k4BO
2025-12-14,In a Lonely Place,1950,https://boxd.it/1JgO
2025-12-14,The Lighthouse,2019,https://boxd.it/icFU
2025-12-14,Sleep Has Her House,2017,https://boxd.it/fljC
